,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,Mo Sold,Sale Type,Age
0,2658,0,0,69.0,9142,Reg,0,Inside,0,0,2fmCon,2Story,6,8,1910,Gable,AsbShng,AsbShng,0,0.0,0,0,Stone,0,0,0,Unf,0,Unf,1020,1020,0,908,1020,1928,0,2,0,4,0,9,0,0,0,1910.0,0,440,0,60,112,4,0,56
1,2718,0,1,0.0,9662,IR1,0,Inside,0,0,Duplex,1Story,5,4,1977,Gable,Plywood,Plywood,0,0.0,0,0,CBlock,1,0,0,Unf,0,Unf,1967,1967,0,1967,0,1967,0,2,0,6,0,10,0,0,1,1977.0,1,580,170,0,0,8,0,29
2,2414,1,1,58.0,17104,IR1,0,Inside,0,0,1Fam,2Story,7,5,2006,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,1,0,GLQ,554,Unf,100,654,1,664,832,1496,1,2,1,3,0,7,1,1,1,2006.0,0,426,100,24,0,9,1,0
3,1989,0,0,60.0,8520,Reg,0,Inside,0,0,1Fam,1Story,5,6,1923,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,CBlock,0,0,0,Unf,0,Unf,968,968,0,968,0,968,0,1,0,2,0,5,0,0,0,1935.0,0,480,0,0,184,7,0,1
4,625,1,1,0.0,9500,IR1,0,Inside,0,0,1Fam,1Story,6,5,1963,Gable,Plywood,Plywood,0,247.0,0,0,CBlock,1,0,0,BLQ,609,Unf,785,1394,0,1394,0,1394,1,1,1,3,0,6,2,1,1,1963.0,0,514,0,76,0,7,0,46
5,333,0,0,21.0,1890,Reg,0,Inside,0,0,TwnhsE,2Story,4,6,1972,Gable,CemntBd,CmentBd,0,0.0,0,0,CBlock,0,0,0,Rec,294,Unf,252,546,0,546,546,1092,0,1,1,3,0,5,0,0,1,1972.0,0,286,0,0,64,6,0,38
6,1327,1,0,52.0,8516,Reg,0,Inside,0,0,1Fam,1Story,4,6,1958,Gable,MetalSd,MetalSd,0,0.0,0,0,CBlock,0,0,0,Unf,0,Unf,869,869,0,1093,0,1093,0,1,0,2,0,5,0,0,0,1959.0,0,308,0,0,0,5,0,2
7,858,1,1,0.0,9286,IR1,0,CulDSac,0,0,1Fam,1Story,5,7,1977,Gable,HdBoard,Plywood,0,0.0,0,0,CBlock,1,1,0,ALQ,196,Unf,1072,1268,0,1268,0,1268,0,1,1,3,0,5,0,0,0,1978.0,0,252,173,0,0,10,0,20
8,95,0,1,39.0,3515,Reg,0,Inside,0,0,TwnhsE,2Story,7,5,2004,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,0,Unf,0,Unf,840,840,1,840,840,1680,0,2,1,2,0,3,0,0,1,2004.0,0,588,0,111,0,1,0,6
9,1568,1,1,75.0,10125,Reg,0,Inside,0,0,1Fam,1Story,6,6,1977,Gable,Plywood,Plywood,0,0.0,0,0,CBlock,0,0,0,ALQ,641,LwQ,276,1196,0,1279,0,1279,0,2,0,3,0,6,2,0,0,1980.0,0,473,238,83,0,2,0,31
