,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,Mo Sold,Sale Type,SalePrice,Age
0,109,1,1,0.0,13517,IR1,0,CulDSac,0,0,1Fam,2Story,6,8,1976,Gable,HdBoard,Plywood,0,289.0,0,0,CBlock,0,0,0,GLQ,533.0,Unf,192.0,725.0,1,725,754,1479,0.0,2,1,3,0,6,0,0,1,1976.0,0,475.0,0,44,0,3,0,130500,5
1,544,1,1,43.0,11492,IR1,0,CulDSac,0,0,1Fam,2Story,7,5,1996,Gable,VinylSd,VinylSd,0,132.0,0,0,PConc,1,0,0,GLQ,637.0,Unf,276.0,913.0,1,913,1209,2122,1.0,2,1,4,0,8,1,0,1,1997.0,0,559.0,0,74,0,4,0,220000,12
2,153,1,1,68.0,7922,Reg,0,Inside,0,0,1Fam,1Story,5,7,1953,Gable,VinylSd,VinylSd,0,0.0,0,0,CBlock,0,0,0,GLQ,731.0,Unf,326.0,1057.0,0,1057,0,1057,1.0,1,0,3,0,5,0,0,0,1953.0,0,246.0,0,52,0,1,0,109000,3
3,318,1,1,73.0,9802,Reg,0,Inside,0,0,1Fam,2Story,5,5,2006,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,0,Unf,0.0,Unf,384.0,384.0,0,744,700,1444,0.0,2,1,3,0,7,0,0,0,2007.0,1,400.0,100,0,0,4,0,174000,3
4,255,0,1,82.0,14235,IR1,0,Inside,0,0,1Fam,1.5Fin,6,8,1900,Gable,Wd Sdng,Plywood,0,0.0,0,0,PConc,0,1,0,Unf,0.0,Unf,676.0,676.0,0,831,614,1445,0.0,2,0,3,0,6,0,0,0,1957.0,0,484.0,0,59,0,3,0,138500,17
5,138,1,1,137.0,16492,IR1,0,Corner,0,1,1Fam,1Story,6,6,1966,Gable,BrkFace,Plywood,0,0.0,0,0,CBlock,0,0,0,ALQ,247.0,Rec,557.0,1517.0,1,1888,0,1888,0.0,2,1,2,0,6,1,1,1,1966.0,1,578.0,0,0,0,6,0,190000,8
6,2827,0,0,35.0,3675,Reg,0,Inside,0,0,TwnhsE,SFoyer,6,5,2005,Gable,VinylSd,VinylSd,0,82.0,0,0,PConc,1,0,1,GLQ,547.0,Unf,0.0,547.0,0,1072,0,1072,1.0,2,0,2,0,5,0,0,0,2005.0,1,525.0,0,44,0,6,1,140000,0
7,145,1,1,0.0,12160,IR1,0,Inside,0,0,1Fam,1Story,5,5,1959,Hip,Plywood,Plywood,0,180.0,0,0,CBlock,0,0,0,Rec,1000.0,Unf,188.0,1188.0,0,1188,0,1188,1.0,1,0,3,0,6,0,0,1,1959.0,0,531.0,0,0,0,5,0,142000,51
8,1942,1,1,0.0,15783,Reg,0,Inside,0,0,1Fam,1Story,5,5,1952,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,CBlock,0,0,0,Rec,292.0,Unf,632.0,924.0,0,924,0,924,0.0,1,0,2,0,6,0,0,0,1952.0,0,420.0,0,324,0,6,0,112500,55
9,1956,1,1,70.0,11606,IR1,1,Inside,0,0,1Fam,2Story,5,5,1969,Gable,Plywood,Plywood,0,192.0,0,0,PConc,1,0,0,Rec,650.0,Unf,390.0,1040.0,0,1040,1040,2080,0.0,1,2,5,0,9,2,0,1,1969.0,0,504.0,335,0,0,9,0,135000,38
